Tank,Temp,Date
AQUA_225_TEMPERATURE_2,28.8,2019-01-27 11:01:37
AQUA_225_TEMPERATURE_2,29,2019-01-27 11:38:12
AQUA_225_TEMPERATURE_2,28.9,2019-01-27 12:14:48
AQUA_225_TEMPERATURE_2,29,2019-01-27 13:29:29
AQUA_225_TEMPERATURE_2,29.2,2019-01-27 14:06:10
AQUA_225_TEMPERATURE_2,29.3,2019-01-27 14:46:50
AQUA_225_TEMPERATURE_2,30.1,2019-01-27 16:34:30
AQUA_225_TEMPERATURE_2,30,2019-01-27 17:47:18
AQUA_225_TEMPERATURE_2,29.6,2019-01-27 17:56:22
AQUA_225_TEMPERATURE_2,29.2,2019-01-27 18:37:30
AQUA_225_TEMPERATURE_2,28.9,2019-01-27 19:18:44
AQUA_225_TEMPERATURE_2,29.2,2019-01-27 19:59:58
AQUA_225_TEMPERATURE_2,29.4,2019-01-27 20:41:06
AQUA_225_TEMPERATURE_2,29.3,2019-01-28 00:07:21
AQUA_225_TEMPERATURE_2,29.1,2019-01-28 00:48:46
AQUA_225_TEMPERATURE_2,28.9,2019-01-28 01:30:11
AQUA_225_TEMPERATURE_2,29.1,2019-01-28 02:52:56
AQUA_225_TEMPERATURE_2,29.2,2019-01-28 03:34:27
AQUA_225_TEMPERATURE_2,29.3,2019-01-28 04:15:58
AQUA_225_TEMPERATURE_2,29.2,2019-01-28 04:57:35
AQUA_225_TEMPERATURE_2,29.6,2019-01-28 05:39:11
AQUA_225_TEMPERATURE_2,29.5,2019-01-28 06:20:48
AQUA_225_TEMPERATURE_2,29.7,2019-01-28 07:02:24
AQUA_225_TEMPERATURE_2,29.6,2019-01-28 07:43:55
AQUA_225_TEMPERATURE_2,29.8,2019-01-28 08:25:15
AQUA_225_TEMPERATURE_2,30.1,2019-01-28 09:06:29
AQUA_225_TEMPERATURE_2,30.5,2019-01-28 09:47:48
AQUA_225_TEMPERATURE_2,30.4,2019-01-28 10:29:02
AQUA_225_TEMPERATURE_2,30,2019-01-28 11:10:22
AQUA_225_TEMPERATURE_2,29.9,2019-01-28 12:33:18
AQUA_225_TEMPERATURE_2,30.1,2019-01-28 13:14:43
AQUA_225_TEMPERATURE_2,29.9,2019-01-28 13:56:09
AQUA_225_TEMPERATURE_2,30,2019-01-28 15:02:13
AQUA_225_TEMPERATURE_2,29.6,2019-01-28 15:43:32
AQUA_225_TEMPERATURE_2,29.9,2019-01-28 16:25:09
AQUA_225_TEMPERATURE_2,29.8,2019-01-28 17:47:48
AQUA_225_TEMPERATURE_2,30,2019-01-28 18:29:13
AQUA_225_TEMPERATURE_2,30.1,2019-01-28 20:33:29
AQUA_225_TEMPERATURE_2,30,2019-01-28 21:15:12
AQUA_225_TEMPERATURE_2,29.9,2019-01-28 23:20:30
AQUA_225_TEMPERATURE_2,29.7,2019-01-29 00:02:18
AQUA_225_TEMPERATURE_2,29.8,2019-01-29 00:44:17
AQUA_225_TEMPERATURE_2,29.9,2019-01-29 01:26:11
AQUA_225_TEMPERATURE_2,29.8,2019-01-29 02:50:04
AQUA_225_TEMPERATURE_2,29.5,2019-01-29 03:32:09
AQUA_225_TEMPERATURE_2,29.3,2019-01-29 04:14:08
AQUA_225_TEMPERATURE_2,29.2,2019-01-29 04:56:08
AQUA_225_TEMPERATURE_2,29.4,2019-01-29 05:38:13
AQUA_225_TEMPERATURE_2,29.9,2019-01-29 09:15:56
AQUA_225_TEMPERATURE_2,30.1,2019-01-29 09:57:27
AQUA_225_TEMPERATURE_2,29.9,2019-01-29 10:54:53
AQUA_225_TEMPERATURE_2,30.2,2019-01-29 11:36:36
AQUA_225_TEMPERATURE_2,30,2019-01-29 12:18:24
AQUA_225_TEMPERATURE_2,30.1,2019-01-29 13:00:06
AQUA_225_TEMPERATURE_2,30.2,2019-01-29 13:41:54
AQUA_225_TEMPERATURE_2,29.8,2019-01-29 14:23:25
AQUA_225_TEMPERATURE_2,29.5,2019-01-29 15:05:13
AQUA_225_TEMPERATURE_2,29.4,2019-01-29 15:47:01
AQUA_225_TEMPERATURE_2,29.3,2019-01-29 16:28:49
AQUA_225_TEMPERATURE_2,29.4,2019-01-29 17:10:43
AQUA_225_TEMPERATURE_2,29.3,2019-01-29 17:52:42
AQUA_225_TEMPERATURE_2,29.1,2019-01-29 19:16:30
AQUA_225_TEMPERATURE_2,29.5,2019-01-29 23:37:28
AQUA_225_TEMPERATURE_2,29.4,2019-01-30 00:13:55
AQUA_225_TEMPERATURE_2,29.7,2019-01-30 00:55:43
AQUA_225_TEMPERATURE_2,29.5,2019-01-30 01:37:48
AQUA_225_TEMPERATURE_2,29.4,2019-01-30 04:26:26
AQUA_225_TEMPERATURE_2,29.3,2019-01-30 05:08:36
AQUA_225_TEMPERATURE_2,29.2,2019-01-30 05:50:53
AQUA_225_TEMPERATURE_2,29.5,2019-01-30 06:33:04
AQUA_225_TEMPERATURE_2,29.7,2019-01-30 07:15:14
AQUA_225_TEMPERATURE_2,29.9,2019-01-30 07:57:14
AQUA_225_TEMPERATURE_2,30,2019-01-30 09:20:38
AQUA_225_TEMPERATURE_2,29.9,2019-01-30 10:02:21
AQUA_225_TEMPERATURE_2,30.1,2019-01-30 10:44:03
AQUA_225_TEMPERATURE_2,28.5,2019-01-30 12:07:45
AQUA_225_TEMPERATURE_2,28.2,2019-01-30 12:49:33
AQUA_225_TEMPERATURE_2,28.7,2019-01-30 13:31:27
AQUA_225_TEMPERATURE_2,27.5,2019-01-30 16:53:54
AQUA_225_TEMPERATURE_2,27.6,2019-01-30 17:35:59
AQUA_225_TEMPERATURE_2,27.3,2019-01-30 18:18:04
AQUA_225_TEMPERATURE_2,27,2019-01-30 19:00:09
AQUA_225_TEMPERATURE_2,27.2,2019-01-30 20:24:20
AQUA_225_TEMPERATURE_2,27.1,2019-01-30 21:06:25
AQUA_225_TEMPERATURE_2,27.4,2019-01-30 22:30:35
AQUA_225_TEMPERATURE_2,27.1,2019-01-30 23:12:40
AQUA_225_TEMPERATURE_2,26.9,2019-01-30 23:54:45
AQUA_225_TEMPERATURE_2,26.8,2019-01-31 00:36:50
AQUA_225_TEMPERATURE_2,26.5,2019-01-31 01:18:55
AQUA_225_TEMPERATURE_2,26.2,2019-01-31 02:01:11
AQUA_225_TEMPERATURE_2,26.5,2019-01-31 02:43:28
AQUA_225_TEMPERATURE_2,26.6,2019-01-31 03:25:50
AQUA_225_TEMPERATURE_2,26.7,2019-01-31 04:08:01
AQUA_225_TEMPERATURE_2,26.6,2019-01-31 04:50:17
AQUA_225_TEMPERATURE_2,27,2019-01-31 05:32:40
AQUA_225_TEMPERATURE_2,27.2,2019-01-31 06:15:13
AQUA_225_TEMPERATURE_2,27.1,2019-01-31 06:58:04
AQUA_225_TEMPERATURE_2,26.9,2019-01-31 07:40:49
